model,accuracy,precision,recall,f1,mcc,auc
Decision Tree,0.9122807017543859,0.9558823529411765,0.9027777777777778,0.9285714285714286,0.8174119974927639,0.9156746031746031
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9623015873015873,0.9953703703703703
Naive Bayes,0.9385964912280702,0.9452054794520548,0.9583333333333334,0.9517241379310345,0.8675534786006366,0.9877645502645502
Random Forest,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.868859654660177,0.9940476190476191
SVM,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9623015873015873,0.9950396825396826
kNN,0.9736842105263158,0.96,1.0,0.9795918367346939,0.9441549509633318,0.9884259259259259
